goal_keeper,first_team,second_team
Koen Van Langendonck,9993,10001
Tomislav Pacovski,8203,9993
Michael Fraser,8649,9927
Radoslaw Cierzniak,9938,10265
Hugo Lloris,8586,9748
Alex McCarthy,9798,9826
Alex McCarthy,9798,10172
Antonio Reguero Chapinal,8066,8649
Artur Boruc,8466,8535
Artur Boruc,8466,8678
Artur Boruc,8466,9925
Mark Bunn,9850,10252
Mark Brown,8649,9925
Mark Brown,8649,10251
Jan Mucha,8668,8673
Joel Robles,8528,8668
Joel Robles,8528,9906
Steve Simonsen,8284,10194
Kevin Trapp,9810,9847
Max Gruen,8357,8721
Tim Wiese,8226,8697
Fabian Giefer,8194,10189
Koen Casteels,8226,8697
Koen Casteels,8226,8721
Michael Rensing,8178,8722
Michael Rensing,8178,9823
Alex Manninger,8406,9885
Heurelho Gomes,8226,8586
Heurelho Gomes,8226,9817
Mitchell Langerak,9789,10269
Ederson Moraes,7841,9772
Ricardo,2033,8603
Ricardo,2033,10238
Vagner,7842,274581
Jan Oblak,7841,9771
Jan Oblak,7841,9772
Jan Oblak,7841,9906
Rafael Bracalli,2033,10214
Rafael Bracalli,2033,158085
Ricardo,8348,9807
Giovanaz Assis,7844,9807
Diego Lopez,8302,8564
Diego Lopez,8302,8633
Diego Lopez,8302,10205
Ruben,8370,8581
Ruben,8370,9864
Ruben,8370,9865
Adrian,8603,8654
Tono,7878,8370
Tono,7878,8696
Tono,7878,10268
Julian,8302,9865
Beto,8302,9773
Beto,8302,10264
Diego Lopez,8633,10205
Emiliano Viviano,8535,8540
Emiliano Viviano,8535,9857
Emiliano Viviano,8535,9882
Mattia Perin,9878,10233
Sergio Romero,9882,10229
Sergio Romero,9882,10260
Jean-Francois Gillet,9804,9857
Jean-Francois Gillet,9804,9976
Zeljko Brkic,8600,208931
Gianluca Curci,9857,9882
Mauro Goicoechea,8686,9941
Mauro Goicoechea,8686,158085
Daniele Padelli,8600,9804
Daniele Padelli,8600,9976
Antonio Rosati,9875,9888
Ferdinando Coppola,9804,9876
Paul Gallacher,8649,9800
Krzysztof Pilarz,2186,8245
Krzysztof Pilarz,2186,177361
Wojciech Kaczmarek,8027,8033
Michal Buchalik,1601,8030
Michal Buchalik,1601,8242
Michal Buchalik,1601,10265
Grzegorz Kasprzik,8020,8028
Andrzej Witan,8027,177361
Guy-Roland N'Dy Assembe,9747,9830
Guy-Roland N'Dy Assembe,9747,9873
Jesper Hansen,4087,7794
Baptiste Reynet,8689,9836
Yohann Pele,9874,9941
Joel Mall,9930,9956
Kevin Fickentscher,7730,10179
"Swen Koenig,24",9930,9956
"Swen Koenig,24",9930,10199
Germano Vailati,9931,10190
Lars Unnerstall,9930,10189
Joao Barroca,7730,9777
Joao Barroca,7730,10215
Eloy Room,6433,8277
Jeroen Zoet,8640,10219
Kevin Begois,6413,9839
Stephan Andersen,6433,8603
Dennis Gentenaar,8464,9839
Simon Mignolet,8650,9997
Scott Fox,8426,8649
Craig Samson,8597,9800
Craig Samson,8597,9927
